profile,qp,bitrate,crf,rc-lookahead,vbv-init,qpmax,ratetol,ipratio,pbratio,aq-mode,qcomp
high,47,2109,46.66775704069346,172,0.12172739653035858,48,0.20399185827099597,7525.199604089999,2690.4880339197844,1,0.11862083270115531
high422,0,3109,14.464845229705945,194,0.8907754051032762,17,0.025294450981501515,8932.401052882253,491.44638438208597,0,0.19815853980581444
high444,66,1697,1.210722894849943,80,0.9878602973881999,12,0.5995680636575139,160.78491466277046,2169.3504810369222,0,0.6258105630524107
high444,64,3687,0.581579650977316,134,0.6349104619135457,8,0.9600371297538749,5667.352910481337,4576.2868153613335,2,0.9811756742463535
high444,22,2509,25.352287752651176,153,0.2990704273836695,44,0.29196348914610715,5382.203345330001,8987.572349080809,0,0.17400687757603217
high422,34,3929,7.287091727325449,160,0.5859649196739289,3,0.6625939414965548,3422.4018938011145,9039.631063812009,1,0.09199941640828069
high444,35,3695,39.08014881508142,112,0.25308898792083256,47,0.5430379831583307,8941.105238616738,557.1271574248404,2,0.9839865733680637
main,16,4027,30.4172541289514,131,0.044388129226876516,26,0.01350182034402414,8651.730655830163,6696.969575451246,0,0.8624884675430081
high422,49,4996,45.95895064528123,250,0.08510610562758336,36,0.3010197297282602,9421.887470020634,497.5815065393452,0,0.2260455085337051
main,56,3008,18.54476594873273,198,0.7971818448586511,24,0.7512351477973475,1662.8298655523422,6294.077265890013,1,0.9590576520267621
baseline,20,4844,27.480216606847176,91,0.1716539537798345,28,0.0709332619049644,5400.456951201651,8065.64929688527,1,0.24075502767028845
high422,19,3960,49.47058273591832,146,0.5285996852163278,16,0.8414168449876267,4541.989762962336,2937.296259045533,0,0.481771498523874
main,19,4380,22.02171562692528,139,0.5351288750106303,39,0.6156493835913937,8249.333316118267,9665.592435393144,1,0.2730364627141033
high10,56,2765,14.09087678326239,161,0.4902611786786879,6,0.5973872074615904,9036.768625311217,2617.3626749491987,0,0.35567272517473636
high422,17,2869,33.30213938588072,194,0.6443811798058051,22,0.777692798059074,4262.09849398966,1020.3920524458765,2,0.7975069264905476
high10,68,2309,11.374621106720074,156,0.014206851515465968,47,0.5212969844816726,6087.8326224286075,4151.891247825996,1,0.09813459819062176
main,19,4731,29.879506052925624,40,0.6630937056420038,28,0.9399616958358292,2426.8309012480227,1822.2729565386098,2,0.3354535262795916
high10,31,1532,50.80315833336569,94,0.7443244037867124,6,0.9578244473989022,5936.673363882159,9996.578281444858,0,0.2305505184733071
high444,54,4758,33.409790286719065,206,0.4528428285993302,47,0.5039069082926811,1213.8804826906369,4203.128526238064,1,0.31772170679959777
high444,60,3838,50.15694152954097,168,0.4484481662867814,40,0.31126997128529943,5745.64713417322,8739.03450415474,1,0.6674940157604482
main,5,4800,38.089415127874915,154,0.17881853818622906,32,0.11089161756895405,6644.863929329517,133.3609928228696,0,0.6702513118284079
high10,14,3746,40.608035472600385,97,0.4998064022448242,23,0.24804680521343958,682.9288632194608,3405.5742985520287,1,0.6618145504838623
high,39,2268,17.082478299535094,151,0.6882342565868903,43,0.12186131481012552,7132.570459772367,5598.400724903519,2,0.35053098092003576
high422,17,2300,28.180535324195958,46,0.637652711099277,38,0.05504056784451483,1120.3047330411164,6726.3974345678935,2,0.7014742020050062
high10,20,2492,42.72771827421393,171,0.3578008727985873,32,0.0786048456733186,6110.118703294901,780.7959878194238,0,0.4713065869816745
baseline,24,3699,12.071230037798458,141,0.8708306921798601,33,0.13464334418064616,8213.306501499315,8638.23336477035,2,0.5171504738038771
high422,23,2416,2.9235038167676173,106,0.3665519619956453,32,0.5950880527853244,111.00817188467448,8927.356173542592,2,0.8346779844518827
high422,41,4434,25.904770588567715,150,0.9025203793589095,36,0.6846800532154552,530.968584503374,8329.779629808267,1,0.6010176254705897
main,22,4012,22.65090168864033,96,0.7091665310659979,51,0.8257995251184883,6018.302849844858,8874.954147150076,1,0.24923135800377427
high,17,4287,1.518069559671643,147,0.4078297505883208,39,0.8178177669315324,1386.6629036280408,5460.044004191914,1,0.6224289692213919
baseline,50,4382,21.92658147114552,88,0.09847174399036329,18,0.16878249671942558,7848.396331794282,4854.821806261814,1,0.00040509469760519057
high10,58,4861,4.963052623847018,76,0.25714840591474,19,0.5035730232096317,9432.448511514232,337.2566169154756,1,0.7940654238831045
high444,19,2799,29.190889316546762,135,0.4890087742010827,2,0.28282721523436416,957.0633829750785,1077.3038883831898,1,0.7364194500546302
high422,62,3898,4.096850810738879,127,0.5203190406648811,36,0.564889610408696,3079.292589705529,9523.938704313266,1,0.3882991071438212
high,8,3771,7.53843636955013,171,0.31775492408313655,13,0.9651138338161455,9769.058552862592,5920.564315435209,2,0.9590814458300926
main,45,3330,25.193320186082502,218,0.546324679171668,28,0.4433468577946007,4949.863470034696,4478.067395505485,0,0.43661660730463536
high444,48,3197,45.628547915646614,141,0.572515417661777,39,0.43936763146367064,5317.50824242386,9303.952827802348,2,0.8342594742357387
high444,19,3577,13.43603131195365,235,0.5172640285829041,46,0.26761623171408244,3268.9942105245073,8515.534651250704,0,0.13608677902329436
high422,44,3382,47.873005289217744,158,0.7956031860288877,31,0.44014111826616986,1750.0175525734185,9154.655359871127,0,0.0913521699964196
high444,64,4876,44.30065954313087,59,0.15860902111607533,51,0.9657361342671956,3547.163560226583,6042.6672430436065,2,0.4989321369055594
high10,18,1742,19.395555408906063,200,0.27451453829851247,50,0.5570027347508036,5175.083600572,5312.176998763167,2,0.6706748155001023
baseline,52,4536,25.369822822709487,119,0.22456365238553566,10,0.13365526118989113,9035.85521395376,8202.292062372819,1,0.7278235751363981
baseline,18,2989,6.163774425986361,75,0.3208493423192411,38,0.3284190977503103,4369.039390077975,5882.587815156926,2,0.04086060968194716
baseline,58,2281,41.07208351799613,177,0.6512831713078148,10,0.7842217715361712,4797.745889211148,2615.8923613285533,1,0.7565932832563189
main,18,2773,17.10214298715102,217,0.9542190351126107,47,0.7189959578645978,6706.722743080128,7371.021681025855,0,0.9492775127536648
