profile,qp,rc-lookahead,vbv-init,qpmax,ratetol,ipratio,pbratio,aq-mode,qcomp
high422,68,244,0.40983225002576296,14,0.35933118967426203,1617.9891825809855,5938.8651940064,2,0.6343493315687897
high,4,90,0.7966562054711759,50,0.6681734968892235,6788.43762894676,2848.650794534896,0,0.014662613739410801
high422,62,97,0.7007394151144567,31,0.5383346466266481,6783.817088455782,4664.973655057503,0,0.9865164364271457
main,63,173,0.962302354781972,36,0.7109552362754311,3102.422552790375,1294.694188860046,0,0.04768533826693189
main,53,105,0.4100995442408367,35,0.09159945365407951,7283.820542647517,5999.99337144541,0,0.296685094485281
high,68,181,0.6274108717211472,0,0.0006778431211428293,9985.795929076388,5533.67544722419,1,0.4300546986898781
high444,17,80,0.3809872772798357,17,0.18580696999780022,7078.968360388322,8343.590836885487,2,0.7204173595854616
high444,52,217,0.021238827765988733,13,0.4091552856398315,807.1634536109573,4540.416649150775,0,0.656481962551725
high422,11,157,0.5570585105605013,18,0.17817239734989787,556.5281640748588,3202.133478468099,0,0.13517226281324635
high444,14,185,0.506083283389271,4,0.5402352885283003,6551.378399215128,2600.438072689063,1,0.10832831943369592
high10,69,235,0.39861034451033484,16,0.23016060467027233,7087.147065070037,2716.0395496383917,0,0.9173435463172558
high10,60,189,0.6914900599190306,22,0.8500002851374066,3662.472920535139,6851.877028682251,1,0.7604320212127593
high422,69,227,0.9430629377240779,41,0.39802203122902347,1157.682502758125,2957.8328601057015,0,0.3287285559933536
main,8,143,0.40941442451895826,47,0.376774877079024,540.1102514663114,2255.5751564792768,0,0.7096899233739905
baseline,60,133,0.8260674654427027,51,0.5882367291682741,4208.08105132938,6447.003875472837,1,0.9358300391112369
baseline,22,247,0.7098458169386166,31,0.5761420799747888,5976.615388708854,7815.994805869573,0,0.4818698977264534
main,46,191,0.44403901837429094,48,0.9989402064835395,694.6337395101265,8479.266371829137,2,0.7604141814421619
baseline,22,236,0.7247948349002369,45,0.5149394168965741,8643.916537853282,1444.932982580035,2,0.3967915114494879
high,31,217,0.41800363777956195,28,0.9126795212167534,5026.904899782335,4448.670029122844,0,0.8078487627316651
baseline,20,144,0.9351397828197818,11,0.37349862525846755,514.4604016120746,6940.678628564473,0,0.010055339953284559
high,42,47,0.8733905329577766,42,0.06803275342906578,8866.222969369277,604.4462180200438,0,0.22780736745431507
high10,67,49,0.29239166963394225,0,0.5547443926823373,2535.1397752141615,8578.548055775955,2,0.9666232917766706
main,30,71,0.5504105973753932,41,0.492835461428621,1285.691140957267,516.3719135738543,0,0.4770320401844361
high10,12,80,0.8707590699034314,25,0.6106598821800834,1566.4476369728397,3204.2754900775562,0,0.17923766249885342
main,48,185,0.5911287589666823,12,0.6170177769915564,3998.022728883689,5492.448508083958,1,0.36401129548264977
main,38,103,0.053729300047129724,48,0.04342937159362148,1265.415731833527,7401.555541244254,0,0.6627579456119141
main,43,191,0.004104635085763864,4,0.6597916145658077,3013.060873851666,5856.890133773127,1,0.8930304688679188
high444,42,242,0.09541568585432869,30,0.7978023167530576,1399.5320701325875,8111.9820943561745,2,0.8220672371206601
main,17,94,0.8249510261306934,16,0.05206027828622728,6283.772862898222,8758.689870950488,1,0.3611346034863038
main,29,229,0.9042291767357513,28,0.7558690075665964,4073.1878907408213,9743.88517561236,1,0.46268090905610804
high444,17,212,0.36974336086758786,5,0.4246473319856957,7395.21976649795,3379.2454775962665,0,0.5535003019954055
high422,63,117,0.01332649232897487,32,0.12292575074752365,1452.1078896122597,8947.187084000965,1,0.6846470529645895
high422,32,102,0.3198820863969626,29,0.4850421001401013,2374.1092448821178,6653.369094654059,0,0.8444075349249078
high,63,206,0.3060460891358827,31,0.6381230327966193,3985.626655476224,6128.751796064622,0,0.37306101014452997
high10,34,165,0.5270444910957236,12,0.19758555368775277,553.2378685294881,2904.2281961820827,2,0.5803645326073831
high422,3,103,0.3626903261225102,49,0.3549276387825492,8641.695712545448,5289.243527110846,1,0.7042789606518163
high10,64,143,0.9436390871893059,44,0.6317743711290884,8923.874917051615,3155.586511923595,1,0.5404605547344454
main,26,214,0.5264186195127939,7,0.6851310108340462,6865.204758132494,1474.3090550957138,0,0.5532416159931041
high10,36,210,0.6482565339421457,18,0.9232179151564225,8466.717997603668,863.8608266029802,1,0.9499149188315811
high422,57,67,0.0002595653595280911,39,0.28599332999448457,8820.6473367773,2599.4383664068478,0,0.47693552247973237
high,1,57,0.6248048915345246,9,0.6268736697535471,7720.666350202719,6478.7847839374135,0,0.5347807436611889
main,4,63,0.6834682473570922,38,0.6674444678411184,4872.142069460443,4010.434948594587,1,0.7960277303331784
baseline,1,102,0.422521531658825,3,0.8342718242818903,5782.0978749594,6218.926475991824,0,0.14636556561130076
high444,41,79,0.43830445463960155,1,0.13828257762876917,7345.625292692433,5438.533763783247,1,0.8518671076064237
baseline,69,169,0.20527251328695006,11,0.23558377687368792,569.5817865073527,5125.223159252043,0,0.24753529699263932
high10,44,164,0.019296949721915757,50,0.5934001274785843,6086.936401750705,942.5401951048107,1,0.7445419441501916
main,39,65,0.8791572147520659,23,0.7899116012938779,226.21493323006115,1051.9073492528187,0,0.9935843866974745
baseline,45,140,0.145669479535262,47,0.1930275235285076,7014.252925487012,5590.076741440795,1,0.9279478042683634
baseline,27,126,0.15503045780076152,2,0.06751825056194094,8294.573934155496,9011.604285367113,1,0.6437541430605321
main,28,229,0.43413464355761666,29,0.8818272698052516,9945.552214176369,5855.15844283312,0,0.18957730201225242
main,46,119,0.3825302343301944,30,0.8720622862112429,1745.3248422284662,9590.51235919711,0,0.2418648580637307
high422,12,225,0.6842235416383464,48,0.7198955528319514,3285.5068932933896,7967.436162836153,1,0.07409575750632569
baseline,24,149,0.006503108133806723,19,0.9365419663781349,679.0276340907297,5535.935379403948,2,0.35230175866153113
main,12,189,0.3497818679102779,36,0.09932979373731732,940.3641698648779,2950.788801636046,1,0.5335589891281631
high10,26,199,0.8069342887170852,36,0.7628428142812949,5037.519475829147,3204.7316989597507,0,0.6765320101377497
high,62,187,0.03397940063897453,14,0.597895243643999,9814.744133359733,8766.169257682468,1,0.383699081390772
baseline,3,148,0.6784015262373666,49,0.9232820190964931,7030.032245684142,3043.495458126626,0,0.15712968364336122
high10,54,76,0.36149701839685355,48,0.33956812202527864,8225.187175224648,3042.425728423014,2,0.9236060576836008
high10,36,235,0.4804450286546328,43,0.7429059858062527,538.194083350786,5028.5308973566,0,0.46172251530758823
high,7,159,0.8402099785522514,26,0.8961816565231308,8075.635541999467,6495.40323250989,0,0.19594224434737284
main,0,236,0.8769660984166487,35,0.41113815689217725,334.62887410435906,8049.860379653393,2,0.24106918564482593
high10,11,83,0.19604101525505813,28,0.3439662993277306,3745.691500503158,5693.481039431675,2,0.6160601681461095
high422,4,135,0.08261555275623345,5,0.24505951197268605,8613.742433502051,9753.097726464479,1,0.4382461169599826
baseline,38,86,0.2689180190612942,18,0.8881792673212674,7176.624063774326,4033.0871052235016,1,0.7746652895939049
high10,36,192,0.055323922065012354,20,0.9137655070276863,4680.209061035784,429.5588123726768,1,0.781766732687805
high422,11,98,0.5132924663145852,17,0.3089694560472386,663.0504869995491,7130.868759552092,0,0.21641590716904702
baseline,66,186,0.9144429941797654,51,0.42408233418318286,3197.9336629592103,5642.419385364956,0,0.19338512549853615
baseline,28,184,0.40909299758913753,26,0.13164779839974206,5107.443669592418,7873.723099449471,0,0.09856999087495188
high,25,72,0.969719621525302,40,0.81745852591919,362.0902998256481,497.28510730976615,2,0.9128932407479221
baseline,19,79,0.15839216982257032,50,0.6720275980975415,2070.0397153652507,4641.639606611483,0,0.07100724064326391
high422,31,156,0.7006461178148343,44,0.6785623839019445,7592.623103964901,6772.230977076872,0,0.3705492892946387
high,60,245,0.8513794887374944,37,0.4905006186435801,1917.8166429956368,4698.522330781855,2,0.4671152729261836
high,53,244,0.4030872896311952,7,0.1122347937555298,8796.924044166548,1959.2503907178427,2,0.9497243485132462
main,3,186,0.5532239636334678,36,0.2675142258337042,7780.540124811648,5218.571540429676,1,0.07485719127707102
high444,34,169,0.6981539138347458,36,0.5293763855882726,8191.538256711866,6984.806556265745,1,0.059080542314962736
baseline,39,240,0.7234922981729439,51,0.047957162350786176,157.89677935920454,6109.4815525451495,1,0.5071392792575677
high422,23,140,0.5851313688913472,37,0.43621078693682236,6805.900495332585,7924.090014483782,2,0.6183069525818644
high10,10,66,0.00012735335976421513,46,0.7720424591660268,16.68453599629416,3937.3140384540175,2,0.6480794810743361
high422,28,199,0.5268541859795075,36,0.6768928753605902,2468.350384208605,4996.647931360916,0,0.4625625461489664
high444,25,225,0.640073630153641,42,0.19967529388719807,2769.7409157992993,5227.899860140053,1,0.9792410780589399
high,45,158,0.7048695704547312,30,0.8061439636590602,8381.863250551618,9356.238638887391,2,0.9846604746225134
baseline,7,88,0.42355479168104193,18,0.3230892929147432,8988.179593878123,4006.6347142095383,0,0.13090242086211656
main,27,56,0.08781100412191445,14,0.7572365365723619,7238.687730080432,6285.077996777963,1,0.1320794859548703
high10,36,131,0.42867444626154605,48,0.8300417447857963,3384.8378205911577,3357.538074037576,2,0.1492172037876882
high,14,103,0.6295659893530218,9,0.9664184487033239,1714.9851898024938,9426.694095763998,0,0.3627683854066279
baseline,24,83,0.6832218211176854,39,0.48521966152897966,4978.616413466217,4303.630090136799,2,0.7473692640195656
high,47,61,0.03418614648828788,17,0.9038155579081009,8838.361696908356,4456.725069748899,1,0.9234149497673256
high10,29,165,0.8513086974733353,18,0.935751771059767,4932.623496309498,4305.105556594774,1,0.3681844455231861
high,59,154,0.5009378391744223,46,0.16972494366734248,1965.4128870946586,6195.7892383944145,0,0.8053747229887359
baseline,54,138,0.779059130943976,24,0.28174845381241154,4205.194203168387,5876.480981534286,1,0.9768179374272212
baseline,17,110,0.5665535884635011,15,0.7187823762697331,1553.8705613845193,7754.622304891298,0,0.45525545773050136
high10,14,167,0.23916432460806436,35,0.7303503181114527,4546.292532432342,7419.717283858721,1,0.2693100872744836
main,18,174,0.9792994135503513,18,0.3229256597454562,3636.888242549836,337.64357879438325,0,0.25620765992209826
high422,23,84,0.3909599871944679,17,0.8402213137316056,4268.324766744068,2545.311717050096,1,0.756702879869093
high10,69,160,0.2631383930288679,17,0.019317945522633218,2481.824644393117,9795.7239472032,0,0.08475421821072349
high,18,100,0.5969409811913489,19,0.8994239252113088,1645.1180067294713,3120.494817852183,0,0.2989516800944305
high10,46,215,0.5638435590377108,48,0.44052450699054324,7960.725599924698,6529.455146266926,0,0.5283606242404094
high422,69,121,0.39702900804262353,48,0.5719437625205567,6591.664172766203,6958.163906602088,1,0.8424648033799842
high10,66,72,0.424973189078106,32,0.06983098381990971,2287.4111115334194,72.52537968770679,1,0.29654004247169896
high444,29,146,0.162830614139581,8,0.25713740693010145,651.8343886179479,6796.16376624487,1,0.614755484993005
high422,50,60,0.9201959643093033,2,0.9398689983621213,8739.98435856597,5912.976129551795,0,0.43824464889357595
high422,65,180,0.407572887029533,7,0.9047937431361743,263.690400305584,6248.760956135368,0,0.9880117819881753
high444,18,244,0.42283855984399144,50,0.21047995296197597,487.1251754540817,1843.5120384921033,2,0.7234894999462621
main,43,83,0.840942870635464,8,0.01076900825326399,1121.6439796047862,6816.772513783639,0,0.35215002229858017
high10,14,246,0.31254357086226503,23,0.573199236992941,9498.934543932308,5428.388455838319,2,0.10800354242591637
high,1,153,0.6695631930199857,13,0.1532133961890424,4405.4889024961885,740.9495938812538,1,0.2185098750014668
high422,47,145,0.6647407482741415,47,0.4930487550130772,3470.6678958590555,8322.366808391278,0,0.21921530446301296
main,8,76,0.919699364744918,19,0.3273746200459553,6918.745599572938,620.6004277313393,0,0.006967365464187969
high10,59,214,0.07594830651556816,14,0.173852435648727,6045.463427242947,7645.517652403847,0,0.35903450702722184
high444,45,249,0.9234777340932661,31,0.07392747864484639,2845.1073658493087,5125.80516692004,1,0.20097939331731274
main,44,212,0.04449441660233666,6,0.08399619750912324,8628.84812899164,1241.3202450394933,2,0.7153871393862213
high422,37,175,0.8530367029504554,15,0.6735062043716289,2605.5036719494406,3469.2728206644683,0,0.2587399050308863
high10,26,192,0.5700392580645097,0,0.7972725602962809,8609.257065969172,2449.3247840622357,2,0.6297878059403988
baseline,45,142,0.3721671196373606,2,0.12915890441793,139.30840482040296,6777.495332694269,1,0.38110959033904057
high422,26,178,0.23798345774584984,14,0.7602220929507533,2233.6707536751965,3027.315837223807,0,0.8353823300393978
high,4,78,0.001036201082777799,9,0.017173553988513723,6429.013501058487,5506.972134041861,0,0.0760022944905433
main,62,150,0.07678654236377258,18,0.06050749157139612,2268.000673457815,9230.612879541268,2,0.4344655614226496
high422,30,209,0.6255987806353154,39,0.37462016525044306,4367.198625419386,7125.8258493413805,0,0.7128992156149933
baseline,29,99,0.08832591512906252,42,0.13630454185893948,16.746410731637297,667.6093980335318,1,0.6355963392011375
high10,62,178,0.6210926711137053,6,0.3965635424832602,6050.1848960119205,6035.4040296461435,2,0.7700517549739971
high444,17,155,0.9330507239551944,46,0.9298356093064338,3650.9675668372233,2718.7279625829865,0,0.2633988499757707
baseline,26,136,0.2812709280391994,44,0.03476001990442423,3023.398481227064,6031.3242296862745,1,0.030938179857159298
high422,55,183,0.2427678660205267,33,0.3473223907226015,4788.6120313403435,9915.061992981957,0,0.8262745215006677
high,19,163,0.1335414130499225,34,0.5339114351472468,8266.351869755757,1579.073753470358,2,0.1166525793134181
high444,25,172,0.6953367935268822,10,0.018074905732776703,7732.872780816115,172.54545573478387,0,0.5999040380038814
high444,30,51,0.7776575419456002,43,0.8212183627790003,9760.133267809138,3942.116162186752,2,0.8897900388008849
baseline,66,86,0.6178872567667808,44,0.5740229905812103,5057.822943890201,5576.207059905118,0,0.1587030546868301
main,25,101,0.42804945660120186,17,0.4944571702196078,5738.404268884636,7335.352970696634,0,0.09297646448698271
high422,60,107,0.42696720457247317,50,0.12341308647854776,8929.417780034291,1866.8900756198536,0,0.18693306423467737
main,19,233,0.3172417619940392,17,0.6296058619795446,7065.201100162843,8182.746292280799,1,0.878036124023003
high422,54,91,0.9708672471513986,31,0.6795912024608781,408.31512196201624,6789.393419466093,0,0.45139911949931066
baseline,5,130,0.24878586802838543,2,0.6470948059102213,4695.276264417549,4625.1860838721805,1,0.21869461701868909
high444,22,111,0.21651815123260698,38,0.4277155240442646,9718.305036653903,9687.134106085825,1,0.21083376920445396
high422,4,68,0.26313560759578825,0,0.0940923995684474,8978.413065799865,6027.460866812837,2,0.22426378437774575
main,8,194,0.11816307850362695,41,0.7516980988020746,3448.726465236407,8608.033452961452,1,0.7423009376746406
baseline,3,203,0.5871021190311373,16,0.015777239411207233,8386.379362663196,4312.661590777351,2,0.36788462125465515
high,44,81,0.17833914191952882,42,0.7775221879556122,4215.745897311772,8792.032842126502,1,0.9067807484183826
high10,25,219,0.7819273125211202,7,0.05927747817035678,9026.677742826834,638.9129595966637,1,0.11963837182254977
high422,43,85,0.8977848331749224,22,0.5787999805050708,7845.737207406814,8859.613473580337,2,0.9125186097855523
high444,45,180,0.6689990578396471,1,0.911878393501542,8010.352439989432,5231.58063589773,0,0.7642374099841153
main,48,116,0.9985285835664566,7,0.6254675704403728,4105.1917057164255,6602.085295201099,0,0.886824898545121
baseline,30,158,0.05382581406200804,35,0.9400675931283522,4857.277742391962,7473.428973209295,0,0.998384667296753
high,22,184,0.5725423403031861,36,0.9183653281971895,8185.690448238617,1900.0816312630475,1,0.849908673237436
main,18,86,0.22240186648150617,33,0.5067580610081199,1977.107905529355,8766.599451610608,2,0.5916589209139185
high,61,112,0.2327331845174211,7,0.6708774196325759,7294.605084916813,6402.076953177114,2,0.8437734981881463
main,22,109,0.3012539000106713,17,0.36735355899706534,1246.28095314544,581.2391293955855,1,0.21831356210090636
high,51,104,0.7657483247063858,48,0.6578161352700833,6672.266688441334,6339.7881439702505,1,0.5453042604901378
high10,14,135,0.41209497359620484,49,0.8094760818594118,6491.099268346434,5269.92754719698,1,0.1111584282946586
high,45,146,0.9176787584413313,48,0.759171831860264,498.3454444198954,8894.449263160386,1,0.1380710581497272
high,13,113,0.9347223404802674,47,0.5593105409461933,2471.318346049313,6830.485111085222,1,0.9155910361125387
high444,62,108,0.8369739426377597,28,0.09064601794597738,9146.659392442905,6858.186557675348,2,0.5413330676468885
main,35,110,0.44195802479444546,44,0.06553863586416464,8235.28474695343,5860.585549667217,0,0.8243960900182327
baseline,1,233,0.5301068057805961,16,0.9067622849669612,1500.0795527167543,6612.315434072725,1,0.36836042709185246
high10,65,77,0.5406374385992802,45,0.8353072855315599,9709.227727652222,8995.003006357334,1,0.1277333371556647
baseline,2,73,0.49066416314028216,3,0.5198287561909049,9522.441523903884,6454.169387845969,2,0.4061966097747697
baseline,19,60,0.3018040538532103,15,0.3143970868676509,2813.1820569180654,1048.8491741769446,2,0.7290223934010936
high444,64,98,0.5241761642370092,2,0.8125220790334602,246.6970751955244,7402.652959511177,0,0.3752047496135177
high,58,198,0.5982553520945011,15,0.5294251803618719,7425.928056323329,2354.473824046548,1,0.940685384329374
high422,30,116,0.2519265509693468,49,0.5847852156333254,2417.4668096872288,3303.879611357493,0,0.42311122257627876
high10,6,88,0.052797945654511014,24,0.8235649252299301,2918.3063107866037,8902.667918494832,0,0.8321093369586219
high10,33,220,0.7252802588729946,36,0.666657855684838,5036.620787449459,5446.859461373947,1,0.5779363260211368
main,57,207,0.9555421410673993,36,0.39431818660071005,1528.430058968241,8703.125151586959,1,0.058398191282489464
high10,14,247,0.175258457177345,24,0.4499944671926991,2854.2215940175097,7919.828538452228,2,0.5468954448145239
high,8,62,0.29307077744478227,17,0.6474169214982244,9491.598032710135,9348.916595830995,2,0.626444069579562
high422,17,168,0.7024844525733998,14,0.4766064092455742,4789.045297677995,8584.730057331833,2,0.8734416398558862
high,22,132,0.8166474909120518,37,0.04328732948192693,9275.402688507284,9381.097596928053,0,0.1933933216616751
high10,6,219,0.4334486249170061,17,0.7322802896686812,6001.4149439393805,3661.514291522746,1,0.1514043146733295
main,29,249,0.9182337108232862,49,0.8567368722003563,599.9103167584608,6388.149998129321,2,0.02119814896642047
high,41,220,0.2720799955064088,45,0.20513987495881292,8661.251215340684,4138.3662656118295,2,0.7940156961604254
main,27,67,0.5976812347515829,9,0.7651543408525615,8233.576488163073,4180.1199009584225,2,0.8625923327599002
high422,69,244,0.1360473995581375,51,0.2455715313092489,9744.960090204042,2965.5975215764606,0,0.29635867706750674
baseline,39,247,0.26460955781652173,50,0.6619326154939975,8971.239471405803,1867.0842421582201,2,0.644595453868355
main,12,206,0.32668470728998356,25,0.15357743224866127,1167.3406571858213,2942.6965615183076,2,0.05527472538933087
main,63,250,0.9992866387843025,15,0.682625669768606,806.6380794737415,6398.916450790355,1,0.8411878077228364
high10,40,115,0.6936177871099097,6,0.2262379727162822,9333.508069098507,2398.6271798591374,2,0.66935981349761
high10,8,158,0.10233144011709738,14,0.3518023007391995,6752.733693183729,210.66442990084866,2,0.7790277574912348
high,32,244,0.24475422233484312,33,0.22098979070468816,303.76941504989486,4739.165412573023,1,0.5258644125624103
high444,16,189,0.10330893480302639,47,0.8248861949408333,9519.032671235644,1543.705638009214,2,0.3209911996848992
high10,43,73,0.4901755466466686,14,0.2980454651245611,1855.8520939849732,4777.8780083571855,1,0.5984717945548604
high,26,224,0.8512653551602701,40,0.667400917357873,3000.27471670259,830.1023267882935,1,0.44140558209294356
high422,33,218,0.7197057628993819,11,0.33282895618951536,810.9441815449992,9283.935916282146,2,0.5534526589597331
main,4,107,0.36285283709080574,30,0.03047931773427348,314.4546257335878,506.426039258906,0,0.6147095820567305
high,69,196,0.22146288717563278,48,0.8595823805991167,4057.2536978535554,1824.5185262153673,2,0.09678705951661337
main,19,237,0.8859141125352279,13,0.2610746903359962,7590.613998228747,9570.812814142191,0,0.17106659074748243
high444,6,118,0.62001004156756,2,0.3792852695773784,7169.08650181932,2233.7274663506455,2,0.049570302432761726
high10,40,158,0.45391493933872173,13,0.07888232834636355,4674.2275925094245,5829.900274105876,1,0.9135417263166395
main,5,185,0.24693142905662413,36,0.20074672388765968,6021.80405865818,5621.690342692266,1,0.5871149597850516
high,67,95,0.3366111262007908,12,0.619151330217837,5896.657323870943,4296.316319866935,2,0.136360842287651
baseline,2,233,0.5316651359665799,34,0.9352720592865191,5566.962893723494,602.568748429474,0,0.6082269572802084
high,34,180,0.8392136950031138,1,0.31944887968628144,9304.048547488452,5416.361317958937,1,0.29136165329110386
baseline,40,195,0.8334159418776863,33,0.38142370066315956,2105.5665478781293,8726.398765359501,2,0.6389239904012131
high10,24,112,0.9019685751149495,11,0.8168573318057283,5466.3034387635025,5717.403240763745,0,0.1695593829559081
high10,56,224,0.5778059962372235,48,0.4893139165034739,8675.411852028074,9435.099371501632,0,0.15822110864649896
high444,50,58,0.12344453682566725,25,0.37616863172720905,7926.091296411828,1831.0027676930906,2,0.4142009418816731
high,13,76,0.24210202916631074,28,0.6750622773056004,1386.3701570343744,9498.004305574317,0,0.12704934461466533
main,27,62,0.7756488475048849,15,0.7147865875879883,7428.261550864925,101.48067266818161,1,0.09812778477900608
baseline,42,86,0.5766766799723436,36,0.8807007506660647,6551.358905102368,9377.68687503508,1,0.4160693740783773
high422,61,171,0.706976087936433,39,0.16545392056484598,1882.4192541299956,5298.594315683266,0,0.5588670487196572
high444,64,98,0.973839040973099,2,0.8307255754976287,6870.587063816482,3346.4619531639537,1,0.37969237207922557
baseline,59,128,0.34235832993880566,38,0.9583962827390824,1020.3673429892813,3899.9594337702724,0,0.8841719414680043
main,11,56,0.3193186841690222,26,0.09764600127674061,6263.8092963015415,4316.823255892735,2,0.7378543252936492
baseline,22,72,0.4972343683511665,35,0.1738200356587577,5040.2739409745855,602.0000952904103,0,0.21310804007643613
high,43,95,0.3789976294196261,29,0.06725557243611946,2604.036792274094,1321.7699827721585,2,0.6615743412330615
high444,18,71,0.13352199753343696,25,0.1415339737854141,1345.33730985267,6668.748939228452,2,0.4053616891745119
main,30,234,0.33137617654468676,19,0.5366910928334441,5153.378013417245,2008.0934327272548,0,0.719078613057857
high444,1,189,0.7596569143277808,38,0.6786574834977842,8888.108565672812,71.81424593448394,1,0.7828386599924563
baseline,17,168,0.004574354421233218,50,0.033568814252781465,7340.306347396069,2387.2050243137087,2,0.18844087585145952
high10,13,70,0.5491756275010845,48,0.9481697119305345,375.7969344408318,9094.316149352191,0,0.989241839215704
high422,20,115,0.055826379062763554,9,0.44535970255514545,6679.080907356869,5364.023135051391,1,0.9791953347791226
high10,14,75,0.22166490986199539,26,0.8229022470898045,5119.6447847349355,1482.65614304529,0,0.7066585518779243
baseline,53,126,0.5955745147741799,15,0.05665666180604101,5832.272113291367,5772.779839565427,1,0.25205299606915155
main,68,203,0.312547931474196,20,0.2856592289674068,4192.276964698498,5298.700465316773,0,0.9882484183226279
high444,56,158,0.7496800448046753,11,0.6378014594643292,1477.5236104674339,2475.494363290499,1,0.7246241997352032
baseline,52,100,0.7843450162103428,13,0.39077494726268125,2019.4979440212412,5612.505571141669,0,0.43500089533483255
baseline,69,97,0.733149201779419,37,0.3249967883773439,4834.957543953335,8551.501678030756,0,0.9740161711482053
high,34,51,0.12702268927853033,43,0.46142067313328217,2140.078264060217,9344.263786037574,1,0.04735704313135014
high10,62,133,0.5374211950373458,47,0.4012467294649733,9573.250211156485,2346.595967895425,2,0.10483908225967664
high,34,247,0.7485297751752896,24,0.8734224731309134,3681.2166021725857,8442.17254041575,1,0.509743191150378
high422,51,93,0.0835569777474574,25,0.8869957081446499,3709.7637530235006,8661.15990949157,0,0.8380265921705482
high,47,110,0.7550648664544879,7,0.5145636630788621,6538.33563964018,8333.260017941537,2,0.9770273428535688
high,69,42,0.9382853497116757,33,0.8669185699612908,6312.763805288516,2129.584562496628,1,0.4699805969315384
high10,33,235,0.4077810201207548,49,0.6852660535079581,8123.681973269326,9781.167477159099,1,0.23163742763761153
high422,58,221,0.8703922834920353,1,0.8684486047322659,3182.962404058358,9477.834633581087,2,0.9442074689728857
baseline,26,233,0.833071650974727,48,0.2019343911795919,3162.8359802073223,2958.7107042408147,1,0.9951758894811715
high422,20,75,0.17637970443950168,16,0.15187904305663769,2984.037122610751,301.9963472726017,0,0.9856677315822572
high10,20,97,0.5818390616411884,7,0.5799276474198062,1235.0803144902588,9806.552474099282,1,0.4388359717515026
high10,34,92,0.5674607346476599,2,0.02083157845190209,8284.547140450497,9436.908219486355,1,0.0816966866527441
high,15,181,0.09110152279356953,27,0.1050974005307258,9443.793983382602,4196.471083023672,2,0.09469118784676822
high,30,219,0.4175735825763066,12,0.6699248114627362,617.4106023797743,7542.362848942716,0,0.7341794212239638
baseline,21,122,0.9148125656041535,29,0.7355830946796731,3162.834000273667,6033.431150625702,2,0.12702757781896068
high422,31,110,0.6567490043555496,1,0.6691343157355788,6149.586901151465,9213.289747683668,1,0.5560573555196306
high10,52,235,0.40939220980321667,9,0.17490907165706515,2095.56549281199,1446.2715890961342,1,0.4794198877553656
high422,9,201,0.2544563702649454,31,0.12624634542394075,770.7718969054011,7738.827973277159,0,0.8420217155617258
high,67,129,0.5035344277511461,16,0.9386955189851177,6969.113058253158,2798.536483755447,0,0.09435326208608708
baseline,31,88,0.46002440366126063,7,0.045207865859164365,8980.203447133199,5517.75162127393,1,0.40330716350756424
